x_value,total_1,total_2
0,1000,1000
1,1004,1005
2,1009,1010
3,1011,1014
4,1010,1014
5,1015,1020
6,1013,1017
7,1021,1016
8,1022,1013
9,1017,1017
10,1018,1018
11,1014,1023
12,1020,1023
13,1026,1023
14,1030,1018
15,1032,1014
16,1030,1009
17,1030,1008
18,1037,1009
19,1037,1008
20,1043,1009
21,1041,1011
22,1048,1010
23,1050,1008
24,1047,1007
25,1043,1003
26,1042,1004
27,1049,1002
28,1050,1007
29,1057,1011
30,1054,1008
31,1054,1011
32,1059,1011
33,1059,1016
34,1067,1013
35,1061,1009
36,1061,1015
37,1055,1017
38,1063,1021
39,1064,1024
40,1067,1028
41,1072,1027
42,1073,1026
43,1072,1029
44,1070,1034
45,1074,1034
46,1070,1030
47,1077,1025
48,1085,1024
49,1092,1025
50,1092,1030
51,1090,1035
52,1092,1036
53,1095,1036
54,1094,1031
55,1102,1032
56,1107,1031
57,1110,1026
58,1105,1031
59,1103,1031
60,1108,1036
61,1116,1033
62,1111,1036
63,1114,1034
64,1113,1038
